Case #1: 945
19 20 15
20 21 14
21 22 13
22 23 12
23 24 11
24 25 10
25 26 9
26 27 8
27 28 7
28 29 6
29 30 5
30 31 4
31 32 3
32 33 2
33 34 1
Case #10: 702
39
1 50 39
1 2 38
2 3 37
3 4 36
4 5 35
5 6 34
6 7 33
7 8 32
8 9 31
9 10 30
10 11 29
11 12 28
12 13 27
13 14 26
14 15 25
15 16 24
16 17 23
17 18 22
18 19 21
19 20 20
20 21 19
21 22 18
22 23 17
23 24 16
24 25 15
25 26 14
26 27 13
27 28 12
28 29 11
29 30 10
30 31 9
31 32 8
32 33 7
33 34 6
34 35 5
35 36 4
36 37 3
37 38 2
38 50 1
Case #11: 441
19
1 19 36
1 2 35
2 3 34
3 4 33
4 5 32
5 6 31
6 7 30
7 8 29
8 9 28
9 10 27
10 11 26
11 12 25
12 13 24
13 14 23
14 15 22
15 16 21
16 17 20
17 18 19
18 19 18
Case #12: 44
11
1 39 11
1 2 10
2 3 9
3 4 8
4 5 7
5 6 6
6 7 5
7 8 4
8 9 3
9 10 2
10 39 1
Case #13: 0
3
1 18 3
1 2 2
2 18 1
Case #14: 65
13
1 41 13
1 2 12
2 3 11
3 4 10
4 5 9
5 6 8
6 7 7
7 8 6
8 9 5
9 10 4
10 11 3
11 12 2
12 41 1
Case #15: 143
11
1 11 22
1 2 21
2 3 20
3 4 19
4 5 18
5 6 17
6 7 16
7 8 15
8 9 14
9 10 13
10 11 12
Case #16: 594
36
1 48 36
1 2 35
2 3 34
3 4 33
4 5 32
5 6 31
6 7 30
7 8 29
8 9 28
9 10 27
10 11 26
11 12 25
12 13 24
13 14 23
14 15 22
15 16 21
16 17 20
17 18 19
18 19 18
19 20 17
20 21 16
21 22 15
22 23 14
23 24 13
24 25 12
25 26 11
26 27 10
27 28 9
28 29 8
29 30 7
30 31 6
31 32 5
32 33 4
33 34 3
34 35 2
35 48 1
Case #17: 927
31
1 31 48
1 2 47
2 3 46
3 4 45
4 5 44
5 6 43
6 7 42
7 8 41
8 9 40
9 10 39
10 11 38
11 12 37
12 13 36
13 14 35
14 15 34
15 16 33
16 17 32
17 18 31
18 19 30
19 20 29
20 21 28
21 22 27
22 23 26
23 24 25
24 25 24
25 26 23
26 27 22
27 28 21
28 29 20
29 30 19
30 31 18
Case #18: 118
16
1 16 17
1 2 16
2 3 15
3 4 14
4 5 13
5 6 12
6 7 11
7 8 10
8 9 9
9 10 8
10 11 7
11 12 6
12 13 5
13 14 4
14 15 3
15 16 2
Case #19: 44
11
1 28 11
1 2 10
2 3 9
3 4 8
4 5 7
5 6 6
6 7 5
7 8 4
8 9 3
9 10 2
10 28 1
Case #20: 189
7
1 7 42
1 2 41
2 3 40
3 4 39
4 5 38
5 6 37
6 7 36
Case #21: 44
8
1 8 12
1 2 11
2 3 10
3 4 9
4 5 8
5 6 7
6 7 6
7 8 5
Case #22: 230
23
1 34 23
1 2 22
2 3 21
3 4 20
4 5 19
5 6 18
6 7 17
7 8 16
8 9 15
9 10 14
10 11 13
11 12 12
12 13 11
13 14 10
14 15 9
15 16 8
16 17 7
17 18 6
18 19 5
19 20 4
20 21 3
21 22 2
22 34 1
Case #23: 90
15
1 43 15
1 2 14
2 3 13
3 4 12
4 5 11
5 6 10
6 7 9
7 8 8
8 9 7
9 10 6
10 11 5
11 12 4
12 13 3
13 14 2
14 43 1
Case #24: 83
10
1 10 16
1 2 15
2 3 14
3 4 13
4 5 12
5 6 11
6 7 10
7 8 9
8 9 8
9 10 7
Case #25: 704
32
1 32 40
1 2 39
2 3 38
3 4 37
4 5 36
5 6 35
6 7 34
7 8 33
8 9 32
9 10 31
10 11 30
11 12 29
12 13 28
13 14 27
14 15 26
15 16 25
16 17 24
17 18 23
18 19 22
19 20 21
20 21 20
21 22 19
22 23 18
23 24 17
24 25 16
25 26 15
26 27 14
27 28 13
28 29 12
29 30 11
30 31 10
31 32 9
Case #26: 14
7
1 42 7
1 2 6
2 3 5
3 4 4
4 5 3
5 6 2
6 42 1
Case #27: 35
10
1 35 10
1 2 9
2 3 8
3 4 7
4 5 6
5 6 5
6 7 4
7 8 3
8 9 2
9 35 1
Case #28: 123
10
1 10 21
1 2 20
2 3 19
3 4 18
4 5 17
5 6 16
6 7 15
7 8 14
8 9 13
9 10 12
Case #29: 188
11
1 11 27
1 2 26
2 3 25
3 4 24
4 5 23
5 6 22
6 7 21
7 8 20
8 9 19
9 10 18
10 11 17
Case #30: 2
4
1 32 4
1 2 3
2 3 2
3 32 1
Case #31: 344
17
1 17 32
1 2 31
2 3 30
3 4 29
4 5 28
5 6 27
6 7 26
7 8 25
8 9 24
9 10 23
10 11 22
11 12 21
12 13 20
13 14 19
14 15 18
15 16 17
16 17 16
Case #32: 849
27
1 27 48
1 2 47
2 3 46
3 4 45
4 5 44
5 6 43
6 7 42
7 8 41
8 9 40
9 10 39
10 11 38
11 12 37
12 13 36
13 14 35
14 15 34
15 16 33
16 17 32
17 18 31
18 19 30
19 20 29
20 21 28
21 22 27
22 23 26
23 24 25
24 25 24
25 26 23
26 27 22
Case #33: 589
22
1 22 41
1 2 40
2 3 39
3 4 38
4 5 37
5 6 36
6 7 35
7 8 34
8 9 33
9 10 32
10 11 31
11 12 30
12 13 29
13 14 28
14 15 27
15 16 26
16 17 25
17 18 24
18 19 23
19 20 22
20 21 21
21 22 20
Case #34: 0
1
1 46 1
Case #35: 2
4
1 21 4
1 2 3
2 3 2
3 21 1
Case #36: 233
14
1 14 27
1 2 26
2 3 25
3 4 24
4 5 23
5 6 22
6 7 21
7 8 20
8 9 19
9 10 18
10 11 17
11 12 16
12 13 15
13 14 14
Case #37: 90
15
1 44 15
1 2 14
2 3 13
3 4 12
4 5 11
5 6 10
6 7 9
7 8 8
8 9 7
9 10 6
10 11 5
11 12 4
12 13 3
13 14 2
14 44 1
Case #38: 665
38
1 47 38
1 2 37
2 3 36
3 4 35
4 5 34
5 6 33
6 7 32
7 8 31
8 9 30
9 10 29
10 11 28
11 12 27
12 13 26
13 14 25
14 15 24
15 16 23
16 17 22
17 18 21
18 19 20
19 20 19
20 21 18
21 22 17
22 23 16
23 24 15
24 25 14
25 26 13
26 27 12
27 28 11
28 29 10
29 30 9
30 31 8
31 32 7
32 33 6
33 34 5
34 35 4
35 36 3
36 37 2
37 47 1
Case #39: 779
41
1 49 41
1 2 40
2 3 39
3 4 38
4 5 37
5 6 36
6 7 35
7 8 34
8 9 33
9 10 32
10 11 31
11 12 30
12 13 29
13 14 28
14 15 27
15 16 26
16 17 25
17 18 24
18 19 23
19 20 22
20 21 21
21 22 20
22 23 19
23 24 18
24 25 17
25 26 16
26 27 15
27 28 14
28 29 13
29 30 12
30 31 11
31 32 10
32 33 9
33 34 8
34 35 7
35 36 6
36 37 5
37 38 4
38 39 3
39 40 2
40 49 1
Case #40: 798
36
1 36 42
1 2 41
2 3 40
3 4 39
4 5 38
5 6 37
6 7 36
7 8 35
8 9 34
9 10 33
10 11 32
11 12 31
12 13 30
13 14 29
14 15 28
15 16 27
16 17 26
17 18 25
18 19 24
19 20 23
20 21 22
21 22 21
22 23 20
23 24 19
24 25 18
25 26 17
26 27 16
27 28 15
28 29 14
29 30 13
30 31 12
31 32 11
32 33 10
33 34 9
34 35 8
35 36 7
Case #41: 854
32
1 32 45
1 2 44
2 3 43
3 4 42
4 5 41
5 6 40
6 7 39
7 8 38
8 9 37
9 10 36
10 11 35
11 12 34
12 13 33
13 14 32
14 15 31
15 16 30
16 17 29
17 18 28
18 19 27
19 20 26
20 21 25
21 22 24
22 23 23
23 24 22
24 25 21
25 26 20
26 27 19
27 28 18
28 29 17
29 30 16
30 31 15
31 32 14
Case #42: 464
32
1 34 32
1 2 31
2 3 30
3 4 29
4 5 28
5 6 27
6 7 26
7 8 25
8 9 24
9 10 23
10 11 22
11 12 21
12 13 20
13 14 19
14 15 18
15 16 17
16 17 16
17 18 15
18 19 14
19 20 13
20 21 12
21 22 11
22 23 10
23 24 9
24 25 8
25 26 7
26 27 6
27 28 5
28 29 4
29 30 3
30 31 2
31 34 1
Case #43: 197
14
1 14 24
1 2 23
2 3 22
3 4 21
4 5 20
5 6 19
6 7 18
7 8 17
8 9 16
9 10 15
10 11 14
11 12 13
12 13 12
13 14 11
Case #44: 629
37
1 48 37
1 2 36
2 3 35
3 4 34
4 5 33
5 6 32
6 7 31
7 8 30
8 9 29
9 10 28
10 11 27
11 12 26
12 13 25
13 14 24
14 15 23
15 16 22
16 17 21
17 18 20
18 19 19
19 20 18
20 21 17
21 22 16
22 23 15
23 24 14
24 25 13
25 26 12
26 27 11
27 28 10
28 29 9
29 30 8
30 31 7
31 32 6
32 33 5
33 34 4
34 35 3
35 36 2
36 48 1
Case #45: 90
15
1 48 15
1 2 14
2 3 13
3 4 12
4 5 11
5 6 10
6 7 9
7 8 8
8 9 7
9 10 6
10 11 5
11 12 4
12 13 3
13 14 2
14 48 1
Case #46: 206
20
1 20 22
1 2 21
2 3 20
3 4 19
4 5 18
5 6 17
6 7 16
7 8 15
8 9 14
9 10 13
10 11 12
11 12 11
12 13 10
13 14 9
14 15 8
15 16 7
16 17 6
17 18 5
18 19 4
19 20 3
Case #47: 142
15
1 15 19
1 2 18
2 3 17
3 4 16
4 5 15
5 6 14
6 7 13
7 8 12
8 9 11
9 10 10
10 11 9
11 12 8
12 13 7
13 14 6
14 15 5
Case #48: 275
25
1 34 25
1 2 24
2 3 23
3 4 22
4 5 21
5 6 20
6 7 19
7 8 18
8 9 17
9 10 16
10 11 15
11 12 14
12 13 13
13 14 12
14 15 11
15 16 10
16 17 9
17 18 8
18 19 7
19 20 6
20 21 5
21 22 4
22 23 3
23 24 2
24 34 1
Case #49: 449
22
1 22 34
1 2 33
2 3 32
3 4 31
4 5 30
5 6 29
6 7 28
7 8 27
8 9 26
9 10 25
10 11 24
11 12 23
12 13 22
13 14 21
14 15 20
15 16 19
16 17 18
17 18 17
18 19 16
19 20 15
20 21 14
21 22 13
Case #50: 740
40
1 45 40
1 2 39
2 3 38
3 4 37
4 5 36
5 6 35
6 7 34
7 8 33
8 9 32
9 10 31
10 11 30
11 12 29
12 13 28
13 14 27
14 15 26
15 16 25
16 17 24
17 18 23
18 19 22
19 20 21
20 21 20
21 22 19
22 23 18
23 24 17
24 25 16
25 26 15
26 27 14
27 28 13
28 29 12
29 30 11
30 31 10
31 32 9
32 33 8
33 34 7
34 35 6
35 36 5
36 37 4
37 38 3
38 39 2
39 45 1
Case #51: 0
1
1 2 30
Case #52: 329
13
1 13 37
1 2 36
2 3 35
3 4 34
4 5 33
5 6 32
6 7 31
7 8 30
8 9 29
9 10 28
10 11 27
11 12 26
12 13 25
Case #53: 560
35
1 46 35
1 2 34
2 3 33
3 4 32
4 5 31
5 6 30
6 7 29
7 8 28
8 9 27
9 10 26
10 11 25
11 12 24
12 13 23
13 14 22
14 15 21
15 16 20
16 17 19
17 18 18
18 19 17
19 20 16
20 21 15
21 22 14
22 23 13
23 24 12
24 25 11
25 26 10
26 27 9
27 28 8
28 29 7
29 30 6
30 31 5
31 32 4
32 33 3
33 34 2
34 46 1
Case #54: 529
22
1 22 38
1 2 37
2 3 36
3 4 35
4 5 34
5 6 33
6 7 32
7 8 31
8 9 30
9 10 29
10 11 28
11 12 27
12 13 26
13 14 25
14 15 24
15 16 23
16 17 22
17 18 21
18 19 20
19 20 19
20 21 18
21 22 17
Case #55: 119
17
1 44 17
1 2 16
2 3 15
3 4 14
4 5 13
5 6 12
6 7 11
7 8 10
8 9 9
9 10 8
10 11 7
11 12 6
12 13 5
13 14 4
14 15 3
15 16 2
16 44 1
Case #56: 299
26
1 39 26
1 2 25
2 3 24
3 4 23
4 5 22
5 6 21
6 7 20
7 8 19
8 9 18
9 10 17
10 11 16
11 12 15
12 13 14
13 14 13
14 15 12
15 16 11
16 17 10
17 18 9
18 19 8
19 20 7
20 21 6
21 22 5
22 23 4
23 24 3
24 25 2
25 39 1
Case #57: 27
9
1 15 9
1 2 8
2 3 7
3 4 6
4 5 5
5 6 4
6 7 3
7 8 2
8 15 1
Case #58: 1059
42
1 42 48
1 2 47
2 3 46
3 4 45
4 5 44
5 6 43
6 7 42
7 8 41
8 9 40
9 10 39
10 11 38
11 12 37
12 13 36
13 14 35
14 15 34
15 16 33
16 17 32
17 18 31
18 19 30
19 20 29
20 21 28
21 22 27
22 23 26
23 24 25
24 25 24
25 26 23
26 27 22
27 28 21
28 29 20
29 30 19
30 31 18
31 32 17
32 33 16
33 34 15
34 35 14
35 36 13
36 37 12
37 38 11
38 39 10
39 40 9
40 41 8
41 42 7
Case #59: 9
6
1 7 6
1 2 5
2 3 4
3 4 3
4 5 2
5 7 1
Case #60: 560
35
1 35 35
1 2 34
2 3 33
3 4 32
4 5 31
5 6 30
6 7 29
7 8 28
8 9 27
9 10 26
10 11 25
11 12 24
12 13 23
13 14 22
14 15 21
15 16 20
16 17 19
17 18 18
18 19 17
19 20 16
20 21 15
21 22 14
22 23 13
23 24 12
24 25 11
25 26 10
26 27 9
27 28 8
28 29 7
29 30 6
30 31 5
31 32 4
32 33 3
33 34 2
34 35 1
Case #61: 65
13
1 50 13
1 2 12
2 3 11
3 4 10
4 5 9
5 6 8
6 7 7
7 8 6
8 9 5
9 10 4
10 11 3
11 12 2
12 50 1
Case #62: 209
22
1 50 22
1 2 21
2 3 20
3 4 19
4 5 18
5 6 17
6 7 16
7 8 15
8 9 14
9 10 13
10 11 12
11 12 11
12 13 10
13 14 9
14 15 8
15 16 7
16 17 6
17 18 5
18 19 4
19 20 3
20 21 2
21 50 1
Case #63: 44
11
1 14 11
1 2 10
2 3 9
3 4 8
4 5 7
5 6 6
6 7 5
7 8 4
8 9 3
9 10 2
10 14 1
Case #64: 1039
34
1 34 50
1 2 49
2 3 48
3 4 47
4 5 46
5 6 45
6 7 44
7 8 43
8 9 42
9 10 41
10 11 40
11 12 39
12 13 38
13 14 37
14 15 36
15 16 35
16 17 34
17 18 33
18 19 32
19 20 31
20 21 30
21 22 29
22 23 28
23 24 27
24 25 26
25 26 25
26 27 24
27 28 23
28 29 22
29 30 21
30 31 20
31 32 19
32 33 18
33 34 17
Case #65: 14
7
1 13 7
1 2 6
2 3 5
3 4 4
4 5 3
5 6 2
6 13 1
Case #66: 2
4
1 38 4
1 2 3
2 3 2
3 38 1
Case #67: 104
16
1 50 16
1 2 15
2 3 14
3 4 13
4 5 12
5 6 11
6 7 10
7 8 9
8 9 8
9 10 7
10 11 6
11 12 5
12 13 4
13 14 3
14 15 2
15 50 1
Case #68: 402
28
1 28 30
1 2 29
2 3 28
3 4 27
4 5 26
5 6 25
6 7 24
7 8 23
8 9 22
9 10 21
10 11 20
11 12 19
12 13 18
13 14 17
14 15 16
15 16 15
16 17 14
17 18 13
18 19 12
19 20 11
20 21 10
21 22 9
22 23 8
23 24 7
24 25 6
25 26 5
26 27 4
27 28 3
Case #69: 702
21
1 21 48
1 2 47
2 3 46
3 4 45
4 5 44
5 6 43
6 7 42
7 8 41
8 9 40
9 10 39
10 11 38
11 12 37
12 13 36
13 14 35
14 15 34
15 16 33
16 17 32
17 18 31
18 19 30
19 20 29
20 21 28
Case #70: 139
9
1 9 25
1 2 24
2 3 23
3 4 22
4 5 21
5 6 20
6 7 19
7 8 18
8 9 17
Case #71: 44
11
1 40 11
1 2 10
2 3 9
3 4 8
4 5 7
5 6 6
6 7 5
7 8 4
8 9 3
9 10 2
10 40 1
Case #72: 1059
42
1 42 48
1 2 47
2 3 46
3 4 45
4 5 44
5 6 43
6 7 42
7 8 41
8 9 40
9 10 39
10 11 38
11 12 37
12 13 36
13 14 35
14 15 34
15 16 33
16 17 32
17 18 31
18 19 30
19 20 29
20 21 28
21 22 27
22 23 26
23 24 25
24 25 24
25 26 23
26 27 22
27 28 21
28 29 20
29 30 19
30 31 18
31 32 17
32 33 16
33 34 15
34 35 14
35 36 13
36 37 12
37 38 11
38 39 10
39 40 9
40 41 8
41 42 7
Case #73: 0
1
1 2 31
Case #74: 299
26
1 34 26
1 2 25
2 3 24
3 4 23
4 5 22
5 6 21
6 7 20
7 8 19
8 9 18
9 10 17
10 11 16
11 12 15
12 13 14
13 14 13
14 15 12
15 16 11
16 17 10
17 18 9
18 19 8
19 20 7
20 21 6
21 22 5
22 23 4
23 24 3
24 25 2
25 34 1
Case #75: 176
8
1 8 34
1 2 33
2 3 32
3 4 31
4 5 30
5 6 29
6 7 28
7 8 27
Case #76: 0
1
1 20 2
Case #77: 239
17
1 17 25
1 2 24
2 3 23
3 4 22
4 5 21
5 6 20
6 7 19
7 8 18
8 9 17
9 10 16
10 11 15
11 12 14
12 13 13
13 14 12
14 15 11
15 16 10
16 17 9
Case #78: 305
11
1 11 40
1 2 39
2 3 38
3 4 37
4 5 36
5 6 35
6 7 34
7 8 33
8 9 32
9 10 31
10 11 30
Case #79: 299
26
1 35 26
1 2 25
2 3 24
3 4 23
4 5 22
5 6 21
6 7 20
7 8 19
8 9 18
9 10 17
10 11 16
11 12 15
12 13 14
13 14 13
14 15 12
15 16 11
16 17 10
17 18 9
18 19 8
19 20 7
20 21 6
21 22 5
22 23 4
23 24 3
24 25 2
25 35 1
Case #80: 714
28
1 28 42
1 2 41
2 3 40
3 4 39
4 5 38
5 6 37
6 7 36
7 8 35
8 9 34
9 10 33
10 11 32
11 12 31
12 13 30
13 14 29
14 15 28
15 16 27
16 17 26
17 18 25
18 19 24
19 20 23
20 21 22
21 22 21
22 23 20
23 24 19
24 25 18
25 26 17
26 27 16
27 28 15
Case #81: 189
21
1 38 21
1 2 20
2 3 19
3 4 18
4 5 17
5 6 16
6 7 15
7 8 14
8 9 13
9 10 12
10 11 11
11 12 10
12 13 9
13 14 8
14 15 7
15 16 6
16 17 5
17 18 4
18 19 3
19 20 2
20 38 1
Case #82: 376
28
1 28 29
1 2 28
2 3 27
3 4 26
4 5 25
5 6 24
6 7 23
7 8 22
8 9 21
9 10 20
10 11 19
11 12 18
12 13 17
13 14 16
14 15 15
15 16 14
16 17 13
17 18 12
18 19 11
19 20 10
20 21 9
21 22 8
22 23 7
23 24 6
24 25 5
25 26 4
26 27 3
27 28 2
Case #83: 53
5
1 5 21
1 2 20
2 3 19
3 4 18
4 5 17
Case #84: 583
18
1 18 46
1 2 45
2 3 44
3 4 43
4 5 42
5 6 41
6 7 40
7 8 39
8 9 38
9 10 37
10 11 36
11 12 35
12 13 34
13 14 33
14 15 32
15 16 31
16 17 30
17 18 29
Case #85: 0
3
1 28 3
1 2 2
2 28 1
Case #86: 0
1
1 2 2
Case #87: 74
8
1 8 17
1 2 16
2 3 15
3 4 14
4 5 13
5 6 12
6 7 11
7 8 10
Case #88: 0
1
1 50 1
Case #89: 54
12
1 23 12
1 2 11
2 3 10
3 4 9
4 5 8
5 6 7
6 7 6
7 8 5
8 9 4
9 10 3
10 11 2
11 23 1
Case #90: 189
21
1 40 21
1 2 20
2 3 19
3 4 18
4 5 17
5 6 16
6 7 15
7 8 14
8 9 13
9 10 12
10 11 11
11 12 10
12 13 9
13 14 8
14 15 7
15 16 6
16 17 5
17 18 4
18 19 3
19 20 2
20 40 1
Case #91: 560
35
1 44 35
1 2 34
2 3 33
3 4 32
4 5 31
5 6 30
6 7 29
7 8 28
8 9 27
9 10 26
10 11 25
11 12 24
12 13 23
13 14 22
14 15 21
15 16 20
16 17 19
17 18 18
18 19 17
19 20 16
20 21 15
21 22 14
22 23 13
23 24 12
24 25 11
25 26 10
26 27 9
27 28 8
28 29 7
29 30 6
30 31 5
31 32 4
32 33 3
33 34 2
34 44 1
Case #92: 0
1
1 23 2
Case #93: 0
1
1 31 1
Case #94: 299
26
1 47 26
1 2 25
2 3 24
3 4 23
4 5 22
5 6 21
6 7 20
7 8 19
8 9 18
9 10 17
10 11 16
11 12 15
12 13 14
13 14 13
14 15 12
15 16 11
16 17 10
17 18 9
18 19 8
19 20 7
20 21 6
21 22 5
22 23 4
23 24 3
24 25 2
25 47 1
Case #95: 77
14
1 49 14
1 2 13
2 3 12
3 4 11
4 5 10
5 6 9
6 7 8
7 8 7
8 9 6
9 10 5
10 11 4
11 12 3
12 13 2
13 49 1
Case #96: 0
1
1 4 2
Case #97: 44
11
1 24 11
1 2 10
2 3 9
3 4 8
4 5 7
5 6 6
6 7 5
7 8 4
8 9 3
9 10 2
10 24 1
Case #98: 545
15
1 15 50
1 2 49
2 3 48
3 4 47
4 5 46
5 6 45
6 7 44
7 8 43
8 9 42
9 10 41
10 11 40
11 12 39
12 13 38
13 14 37
14 15 36
Case #99: 275
25
1 38 25
1 2 24
2 3 23
3 4 22
4 5 21
5 6 20
6 7 19
7 8 18
8 9 17
9 10 16
10 11 15
11 12 14
12 13 13
13 14 12
14 15 11
15 16 10
16 17 9
17 18 8
18 19 7
19 20 6
20 21 5
21 22 4
22 23 3
23 24 2
24 38 1
Case #100: 284
12
1 12 35
1 2 34
2 3 33
3 4 32
4 5 31
5 6 30
6 7 29
7 8 28
8 9 27
9 10 26
10 11 25
11 12 24
Case #101: 27
9
1 9 9
1 2 8
2 3 7
3 4 6
4 5 5
5 6 4
6 7 3
7 8 2
8 9 1
Case #102: 170
20
1 26 20
1 2 19
2 3 18
3 4 17
4 5 16
5 6 15
6 7 14
7 8 13
8 9 12
9 10 11
10 11 10
11 12 9
12 13 8
13 14 7
14 15 6
15 16 5
16 17 4
17 18 3
18 19 2
19 26 1
Case #103: 0
1
1 2 1
Case #104: 299
26
1 30 26
1 2 25
2 3 24
3 4 23
4 5 22
5 6 21
6 7 20
7 8 19
8 9 18
9 10 17
10 11 16
11 12 15
12 13 14
13 14 13
14 15 12
15 16 11
16 17 10
17 18 9
18 19 8
19 20 7
20 21 6
21 22 5
22 23 4
23 24 3
24 25 2
25 30 1
Case #105: 347
10
1 10 49
1 2 48
2 3 47
3 4 46
4 5 45
5 6 44
6 7 43
7 8 42
8 9 41
9 10 40
Case #106: 299
26
1 31 26
1 2 25
2 3 24
3 4 23
4 5 22
5 6 21
6 7 20
7 8 19
8 9 18
9 10 17
10 11 16
11 12 15
12 13 14
13 14 13
14 15 12
15 16 11
16 17 10
17 18 9
18 19 8
19 20 7
20 21 6
21 22 5
22 23 4
23 24 3
24 25 2
25 31 1
Case #107: 252
24
1 28 24
1 2 23
2 3 22
3 4 21
4 5 20
5 6 19
6 7 18
7 8 17
8 9 16
9 10 15
10 11 14
11 12 13
12 13 12
13 14 11
14 15 10
15 16 9
16 17 8
17 18 7
18 19 6
19 20 5
20 21 4
21 22 3
22 23 2
23 28 1
Case #108: 2
4
1 27 4
1 2 3
2 3 2
3 27 1
Case #109: 683
26
1 26 42
1 2 41
2 3 40
3 4 39
4 5 38
5 6 37
6 7 36
7 8 35
8 9 34
9 10 33
10 11 32
11 12 31
12 13 30
13 14 29
14 15 28
15 16 27
16 17 26
17 18 25
18 19 24
19 20 23
20 21 22
21 22 21
22 23 20
23 24 19
24 25 18
25 26 17
Case #110: 119
17
1 47 17
1 2 16
2 3 15
3 4 14
4 5 13
5 6 12
6 7 11
7 8 10
8 9 9
9 10 8
10 11 7
11 12 6
12 13 5
13 14 4
14 15 3
15 16 2
16 47 1
Case #111: 464
32
1 39 32
1 2 31
2 3 30
3 4 29
4 5 28
5 6 27
6 7 26
7 8 25
8 9 24
9 10 23
10 11 22
11 12 21
12 13 20
13 14 19
14 15 18
15 16 17
16 17 16
17 18 15
18 19 14
19 20 13
20 21 12
21 22 11
22 23 10
23 24 9
24 25 8
25 26 7
26 27 6
27 28 5
28 29 4
29 30 3
30 31 2
31 39 1
Case #112: 0
1
1 2 50
Case #113: 350
28
1 29 28
1 2 27
2 3 26
3 4 25
4 5 24
5 6 23
6 7 22
7 8 21
8 9 20
9 10 19
10 11 18
11 12 17
12 13 16
13 14 15
14 15 14
15 16 13
16 17 12
17 18 11
18 19 10
19 20 9
20 21 8
21 22 7
22 23 6
23 24 5
24 25 4
25 26 3
26 27 2
27 29 1
Case #114: 2
4
1 4 4
1 2 3
2 3 2
3 4 1
Case #115: 604
24
1 24 40
1 2 39
2 3 38
3 4 37
4 5 36
5 6 35
6 7 34
7 8 33
8 9 32
9 10 31
10 11 30
11 12 29
12 13 28
13 14 27
14 15 26
15 16 25
16 17 24
17 18 23
18 19 22
19 20 21
20 21 20
21 22 19
22 23 18
23 24 17
Case #116: 371
26
1 26 29
1 2 28
2 3 27
3 4 26
4 5 25
5 6 24
6 7 23
7 8 22
8 9 21
9 10 20
10 11 19
11 12 18
12 13 17
13 14 16
14 15 15
15 16 14
16 17 13
17 18 12
18 19 11
19 20 10
20 21 9
21 22 8
22 23 7
23 24 6
24 25 5
25 26 4
Case #117: 635
26
1 26 40
1 2 39
2 3 38
3 4 37
4 5 36
5 6 35
6 7 34
7 8 33
8 9 32
9 10 31
10 11 30
11 12 29
12 13 28
13 14 27
14 15 26
15 16 25
16 17 24
17 18 23
18 19 22
19 20 21
20 21 20
21 22 19
22 23 18
23 24 17
24 25 16
25 26 15
Case #118: 428
28
1 28 31
1 2 30
2 3 29
3 4 28
4 5 27
5 6 26
6 7 25
7 8 24
8 9 23
9 10 22
10 11 21
11 12 20
12 13 19
13 14 18
14 15 17
15 16 16
16 17 15
17 18 14
18 19 13
19 20 12
20 21 11
21 22 10
22 23 9
23 24 8
24 25 7
25 26 6
26 27 5
27 28 4
Case #119: 405
30
1 33 30
1 2 29
2 3 28
3 4 27
4 5 26
5 6 25
6 7 24
7 8 23
8 9 22
9 10 21
10 11 20
11 12 19
12 13 18
13 14 17
14 15 16
15 16 15
16 17 14
